ID,Artists,Streams
1,"Chance the Rapper, DJ Khaled, Justin Bieber, Lil Wayne, Quavo",720836953
2,"Anuel AA, Daddy Yankee, J Balvin, KAROL G, Ozuna",703150756
3,"Big Sean, Calvin Harris, Funk Wav, Katy Perry, Pharrell Williams",462389197
4,"Anuel AA, Brray, Juanka, Myke Towers, Nio Garcia",395921746
5,"Daddy Yankee, Farruko, J Balvin, ROSALÍA, Sech",360902838
6,"Chencho Corleone, Dalex, Dímelo Flow, Juhn, Lenny Tavárez",289461144
7,"Bad Bunny, DJ Luian, J Balvin, Mambo Kingz, Prince Royce",273936566
8,"Anuel AA, Darell, Nicky Jam, Ozuna, Sech",260935748
9,"Bad Bunny, DJ Luian, Mambo Kingz, Nacho, Yandel",215481114
10,"Anuel AA, Daddy Yankee, Farruko, Wisin, Zion & Lennox",203183259
11,"Anuel AA, Becky G, DJ Luian, Mambo Kingz, Prince Royce",148995129
12,"Cris Mj, Duki, Nicki Nicole, Standly, Stars Music Chile",147382738
13,"Bizarrap, Nicki Nicole, TATOOL, Taiu, Trueno",145551656
14,"Future, J Balvin, Juan Magán, MC Fioti, Stefflon Don",134979902
15,"De La Ghetto, Feid, Pailita, Paloma Mami, Polimá Westcoast",133879193
16,"Anuel AA, Jhayco, Los Legendarios, Myke Towers, Wisin",129729188
17,"Amenazzy, Farruko, Jay Wheeler, Milly, Nio Garcia",128657047
18,"Kanye West, Playboi Carti, Rich The Kid, Ty Dolla $ign, ¥$",106648021
19,"Alex Rose, Cazzu, Lenny Tavárez, Lyanno, Rauw Alejandro",105208507
20,"Anuel AA, Daddy Yankee, Farruko, J Balvin, Ozuna",97814060
21,"Arcángel, Farruko, Myke Towers, Sech, Zion",95855837
22,"Anuel AA, Brytiago, Daddy Yankee, Darell, Ozuna",88061167
23,"Anitta, DJ Yuri Martins, Maejor, Tropkillaz, ZAAC",77959253
24,"Hugh Jackman, Keala Settle, The Greatest Showman Ensemble, Zac Efron, Zendaya",76934418
25,"B-Case, Belinda, Juan Magán, Manuel Turizo, Snova",74581355
26,"Altamash Faridi, Amitabh Bhattacharya, Sachin-Jigar, Shadab Faridi, Varun Jain",67856041
27,"Becky G, Farruko, Guaynaa, Nicky Jam, Sech",43444022
28,"Fepache, MC PH, Pedro Lotto, Veigh, Vulgo FK",41236576
29,"Dj LK da Escócia, MC Ryan SP, Mc RF, Tchakabum, mc jhenny",38981595
30,"Anuel AA, Farruko, Lunay, NATTI NATASHA, Rauw Alejandro",38522478
31,"DJ Ws da Igrejinha, Mc Menor Thalis, SMU, Triz, Tropa do Bruxo",27916960
32,"Beéle, Boza, Juhn, Lenny Tavárez, Lunay",27501725
33,"Daniel Everidge, Hugh Jackman, Keala Settle, The Greatest Showman Ensemble, Zendaya",25631293
34,"(G)I-DLE, Jaira Burns, K/DA, League of Legends, Madison Beer",25295399
35,"Bryant Myers, Juhn, Maluma, Noriel, Trap Capos",18406112
36,"DJ Khaled, DaBaby, Lil Baby, Megan Thee Stallion, Post Malone",17356237
37,"Anuel AA, DJ Luian, Maluma, Mambo Kingz, Quevedo",15593015
38,"(G)I-DLE, Bea Miller, K/DA, League of Legends, Wolftyla",12148541
39,"Charlie Puth, Fast & Furious: The Fast Saga, JVKE, Jimin, Muni Long",10597956
40,"Black Thought, Denaun, Eminem, Q-Tip, Royce Da 5'9""",8695060
41,"Chencho Corleone, Lunay, Myke Towers, Ozuna, Rauw Alejandro",8664899
42,"BEAM, Don Toliver, Metro Boomin, Toian, Wizkid",8284432
43,"Anderson .Paak, Bootsy Collins, Bruno Mars, Silk Sonic, Thundercat",7528601
44,"Capital Bra, Kalazh44, Luciano, Nimo, Samra",6327655
45,"Jubin Nautiyal, Rashmi Virag, Surya Ragunaathan, Tanishk Bagchi, Yohani",6177604
46,"21 Savage, DJ Snake, Gucci Mane, Offset, Sheck Wes",4931256
47,"Bonez MC, Gzuz, LX, Maxwell, Sa4",4640455
48,"A$AP Rocky, Lil Yachty, The Creator, Tierra Whack, Tyler",4601709
49,"Anuel AA, Arcángel, DJ Luian, KAROL G, Mambo Kingz",4492902
50,"Calvin Harris, DRAM, Funk Wav, PARTYNEXTDOOR, ScHoolboy Q",4412014
51,"Big Lenbo, Black Thought, Chuck D, Logic, No ID",3372475
