Track,Collaborating Artists,Popularity (Approx. Streams)
Starboy,"The Weeknd, Daft Punk",91
Blinding Lights,The Weeknd,90
Save Your Tears,The Weeknd,87
The Hills,The Weeknd,87
"One Of The Girls (with JENNIE, Lily Rose Depp)","The Weeknd, JENNIE, Lily-Rose Depp",86
Call Out My Name,The Weeknd,86
Popular (with Playboi Carti & Madonna),"The Weeknd, Playboi Carti, Madonna",85
Is There Someone Else?,The Weeknd,85
I Was Never There,"The Weeknd, Gesaffelstein",85
Reminder,The Weeknd,85
After Hours,The Weeknd,83
Can't Feel My Face,The Weeknd,83
Die For You (with Ariana Grande) - Remix,"The Weeknd, Ariana Grande",82
Heartless,The Weeknd,82
Die For You,The Weeknd,82
Often,The Weeknd,81
Party Monster,The Weeknd,80
I Feel It Coming,"The Weeknd, Daft Punk",79
Out of Time,The Weeknd,77
In Your Eyes,The Weeknd,77
House Of Balloons / Glass Table Girls,The Weeknd,77
The Party & The After Party,The Weeknd,77
Stargirl Interlude,"The Weeknd, Lana Del Rey",76
Less Than Zero,The Weeknd,75
In The Night,The Weeknd,75
Acquainted,The Weeknd,74
Earned It (Fifty Shades Of Grey),The Weeknd,74
Coming Down,The Weeknd,74
Sacrifice,The Weeknd,73
What You Need,The Weeknd,73
The Morning,The Weeknd,73
Pray For Me (with Kendrick Lamar),"The Weeknd, Kendrick Lamar",72
Take My Breath,The Weeknd,72
Try Me,The Weeknd,72
Hurt You,"The Weeknd, Gesaffelstein",72
Sidewalks,"The Weeknd, Kendrick Lamar",71
Wicked Games,The Weeknd,71
Earned It (Fifty Shades Of Grey),The Weeknd,70
Wasted Times,The Weeknd,69
False Alarm,The Weeknd,68
How Do I Make You Love Me?,The Weeknd,67
Escape From LA,The Weeknd,67
Faith,The Weeknd,67
Secrets,The Weeknd,67
Six Feet Under,The Weeknd,67
A Lonely Night,The Weeknd,67
High For This,The Weeknd,67
Alone Again,The Weeknd,66
Too Late,The Weeknd,66
Hardest To Love,The Weeknd,66
Tell Your Friends,The Weeknd,66
Prisoner,"The Weeknd, Lana Del Rey",66
Gasoline,The Weeknd,65
Best Friends,The Weeknd,65
Privilege,The Weeknd,65
Shameless,The Weeknd,65
As You Are,The Weeknd,65
Nothing Is Lost (You Give Me Strength),The Weeknd,64
Starry Eyes,The Weeknd,64
Scared To Live,The Weeknd,64
Snowchild,The Weeknd,64
Rockin’,The Weeknd,64
True Colors,The Weeknd,64
Attention,The Weeknd,64
"Here We Go… Again (feat. Tyler, the Creator)","The Weeknd, Tyler, The Creator",63
Repeat After Me (Interlude),The Weeknd,63
Ordinary Life,The Weeknd,63
Don’t Break My Heart,The Weeknd,62
Until I Bleed Out,The Weeknd,62
All I Know,"The Weeknd, Future",62
Angel,The Weeknd,62
Die For You,The Weeknd,61
I Heard You’re Married (feat. Lil Wayne),"The Weeknd, Lil Wayne",61
Missed You - Bonus Track,The Weeknd,61
Love To Lay,The Weeknd,61
Dark Times,"The Weeknd, Ed Sheeran",61
Kiss Land,The Weeknd,61
Starboy (feat. Daft Punk),"The Weeknd, Daft Punk",60
Save Your Tears,The Weeknd,60
Nothing Without You,The Weeknd,60
Losers,"The Weeknd, Labrinth",60
Coming Down,The Weeknd,60
Blinding Lights,The Weeknd,59
In Your Eyes,The Weeknd,59
Nothing Compares - Bonus Track,The Weeknd,59
Real Life,The Weeknd,59
Twenty Eight,The Weeknd,59
The Zone,"The Weeknd, Drake",59
Loft Music,The Weeknd,59
Wicked Games,The Weeknd,58
Can't Feel My Face,The Weeknd,58
I Feel It Coming (feat. Daft Punk),"The Weeknd, Daft Punk",58
Heartless,The Weeknd,58
The Hills,The Weeknd,58
Call Out My Name,The Weeknd,58
The Party & The After Party,The Weeknd,58
Montreal,The Weeknd,58
King Of The Fall,The Weeknd,57
Dawn FM,The Weeknd,57
Odd Look,"Kavinsky, The Weeknd",57
The Knowing,The Weeknd,57
The Morning,The Weeknd,56
Often,The Weeknd,56
Love Me Harder (with The Weeknd),"Ariana Grande, The Weeknd",56
After Hours,The Weeknd,56
Starboy (feat. Daft Punk),"The Weeknd, Daft Punk",56
House Of Balloons / Glass Table Girls,The Weeknd,56
The Morning,The Weeknd,56
XO / The Host,The Weeknd,56
The Birds Pt. 1,The Weeknd,56
Acquainted,The Weeknd,55
I Was Never There (with Gesaffelstein),"The Weeknd, Gesaffelstein",55
House Of Balloons / Glass Table Girls,The Weeknd,55
Is There Someone Else?,The Weeknd,55
A Tale By Quincy,The Weeknd,55
Call Out My Name - A Cappella,The Weeknd,55
Tears In The Rain,The Weeknd,55
Valerie,The Weeknd,55
D.D.,The Weeknd,55
Lonely Star,The Weeknd,55
The Birds Pt. 2,The Weeknd,55
Moth To A Flame (with The Weeknd),"Swedish House Mafia, The Weeknd",54
Stargirl Interlude (feat. Lana Del Rey),"The Weeknd, Lana Del Rey",54
Call Out My Name - Live,The Weeknd,54
The Songcord,Zoe Saldana,54
Is There Someone Else?,The Weeknd,54
Every Angel is Terrifying,The Weeknd,54
Phantom Regret by Jim,The Weeknd,54
After Hours,The Weeknd,54
Kiss Land,The Weeknd,54
Professional,The Weeknd,54
Adaptation,The Weeknd,54
Wanderlust,The Weeknd,54
Pretty,The Weeknd,54
Till Dawn (Here Comes The Sun),The Weeknd,54
Next,The Weeknd,54
Life Of The Party,The Weeknd,54
Less Than Zero,The Weeknd,53
Party Monster,The Weeknd,53
Reminder,The Weeknd,53
Party Monster,The Weeknd,53
Reminder (feat. A$AP Rocky & Young Thug) - Remix,"The Weeknd, A$AP Rocky, Young Thug",53
The Town,The Weeknd,53
Love In The Sky,The Weeknd,53
Live For,"The Weeknd, Drake",53
What You Need,The Weeknd,53
Wicked Games,The Weeknd,53
Rolling Stone,The Weeknd,53
Stargirl Interlude (feat. Lana Del Rey),"The Weeknd, Lana Del Rey",52
Sacrifice,The Weeknd,52
In The Night,The Weeknd,52
Take My Breath,The Weeknd,52
Out of Time,The Weeknd,52
Reminder,The Weeknd,52
After Hours - Live,The Weeknd,52
Out of Time,The Weeknd,52
Moth To A Flame (with The Weeknd),"Swedish House Mafia, The Weeknd",52
Final Lullaby - Bonus Track,The Weeknd,52
High For This,The Weeknd,52
Outside,The Weeknd,52
Same Old Song,"The Weeknd, Juicy J",52
Thursday,The Weeknd,52
Tell Your Friends,The Weeknd,51
Wasted Times,The Weeknd,51
I Feel It Coming (feat. Daft Punk),"The Weeknd, Daft Punk",51
Starboy (feat. Daft Punk) - Kygo Remix,"The Weeknd, Daft Punk, Kygo",51
Less Than Zero,The Weeknd,51
Heartless,The Weeknd,51
Belong To The World,The Weeknd,51
Initiation,The Weeknd,51
Echoes Of Silence,The Weeknd,51
High For This,The Weeknd,50
The Hills - Live,The Weeknd,50
Often - Live,The Weeknd,50
Take My Breath,The Weeknd,50
Tears In The Rain,The Weeknd,50
The Zone,"The Weeknd, Drake",50
The Fall,The Weeknd,50
Gone,The Weeknd,50
False Alarm,The Weeknd,49
Die For You,The Weeknd,49
Sacrifice - Live,The Weeknd,49
Hurricane - Live,The Weeknd,49
Starboy - Live,The Weeknd,49
Is There Someone Else? - Live,The Weeknd,49
How Do I Make You Love Me?,The Weeknd,49
Sacrifice,The Weeknd,49
Alone Again,The Weeknd,49
Save Your Tears,The Weeknd,49
Save Your Tears (Remix) (with Ariana Grande) - Bonus Track,"The Weeknd, Ariana Grande",49
Loft Music,The Weeknd,49
Life Of The Party,The Weeknd,49
The Birds Pt. 2,The Weeknd,49
Heaven Or Las Vegas,The Weeknd,49
Secrets,The Weeknd,48
Sidewalks (feat. Kendrick Lamar),"The Weeknd, Kendrick Lamar",48
A Lonely Night,The Weeknd,48
Gasoline - Live,The Weeknd,48
How Do I Make You Love Me? - Live,The Weeknd,48
Take My Breath - Live,The Weeknd,48
Crew Love - Live,The Weeknd,48
Heartless - Live,The Weeknd,48
Low Life - Live,The Weeknd,48
Or Nah - Live,"The Weeknd, Ty Dolla $ign",48
Party Monster - Live,The Weeknd,48
Out of Time - Live,The Weeknd,48
I Was Never There - Live,The Weeknd,48
Gasoline,The Weeknd,48
Too Late,The Weeknd,48
Hardest To Love,The Weeknd,48
Escape From LA,The Weeknd,48
Faith,The Weeknd,48
Blinding Lights,The Weeknd,48
In Your Eyes,The Weeknd,48
Wanderlust,The Weeknd,48
Lonely Star,The Weeknd,48
The Birds Pt. 1,The Weeknd,48
Rockin’,The Weeknd,47
Six Feet Under,The Weeknd,47
Alone Again - Live,The Weeknd,47
Can't Feel My Face - Live,The Weeknd,47
Faith - Live,The Weeknd,47
I Feel It Coming - Live,The Weeknd,47
Die For You - Live,The Weeknd,47
Save Your Tears - Live,The Weeknd,47
Less Than Zero - Live,The Weeknd,47
Blinding Lights - Live,The Weeknd,47
The Knowing,The Weeknd,47
D.D.,The Weeknd,47
Montreal,The Weeknd,47
XO / The Host,The Weeknd,47
True Colors,The Weeknd,46
Love To Lay,The Weeknd,46
Ordinary Life,The Weeknd,46
Kiss Land - Live,The Weeknd,46
Wicked Games - Live,The Weeknd,46
Happiness Is Simple,Simon Franglen,46
Best Friends,The Weeknd,46
Starry Eyes,The Weeknd,46
Scared To Live,The Weeknd,46
Snowchild,The Weeknd,46
Repeat After Me (Interlude),The Weeknd,46
Until I Bleed Out,The Weeknd,46
The Town,The Weeknd,46
Thursday,The Weeknd,46
Attention,The Weeknd,45
All I Know (feat. Future),"The Weeknd, Future",45
The Morning - Live,The Weeknd,45
The Way of Water,Simon Franglen,45
"Here We Go… Again (feat. Tyler, the Creator)","The Weeknd, Tyler, The Creator",45
Don’t Break My Heart,The Weeknd,45
How Do I Make You Love Me? - Sebastian Ingrosso & Salvatore Ganacci Remix,"The Weeknd, Sebastian Ingrosso, Salvatore Ganacci",45
Professional,The Weeknd,45
Adaptation,The Weeknd,45
Gone,The Weeknd,45
Rolling Stone,The Weeknd,45
Nothing Without You,The Weeknd,44
Intro - Live,The Weeknd,44
Into the Water,Simon Franglen,44
I Heard You're Married (feat. Lil Wayne),"The Weeknd, Lil Wayne",44
Love In The Sky,The Weeknd,44
Belong To The World,The Weeknd,44
Outside,The Weeknd,44
Same Old Song,"The Weeknd, Juicy J",44
Next,The Weeknd,44
Dawn FM,The Weeknd,43
Live For,"The Weeknd, Drake",43
Pretty,The Weeknd,43
Wanderlust,The Weeknd,43
Heaven Or Las Vegas,The Weeknd,43
Initiation,The Weeknd,43
The Fall,The Weeknd,43
A Tale By Quincy,The Weeknd,42
Sacrifice (Remix) (feat. Swedish House Mafia),"The Weeknd, Swedish House Mafia",42
Take My Breath - Single Version,The Weeknd,42
Echoes Of Silence,The Weeknd,42
Every Angel is Terrifying,The Weeknd,41
Dawn FM - OPN Remix,"The Weeknd, Oneohtrix Point Never",41
Starry Eyes - MIKE DEAN Remix,"The Weeknd, MIKE DEAN",41
Outro - Live,The Weeknd,40
Phantom Regret by Jim,The Weeknd,40
Leaving Home,Simon Franglen,39
The Spirit Tree,Simon Franglen,39
Best Friends - Remix,"The Weeknd, Summer Walker",39
Converging Paths,Simon Franglen,38
The Tulkun Return,Simon Franglen,38
From Darkness to Light,Simon Franglen,38
Out of Time - KAYTRANADA Remix,"The Weeknd, KAYTRANADA",38
Payakan,Simon Franglen,37
A New Star,Simon Franglen,36
Friends,Simon Franglen,36
Cove of the Ancestors,Simon Franglen,36
Mighty Eywa,Simon Franglen,35
Rescue and Loss,Simon Franglen,34
Family Is Our Fortress,Simon Franglen,34
Na'vi Attack,Simon Franglen,33
Eclipse,Simon Franglen,33
Bad Parents,Simon Franglen,32
The Hunt,Simon Franglen,31
Knife Fight,Simon Franglen,30
