Artist,Solo Streams,Collaborative Streams
Beyoncé,219336840,55781286
Rauw Alejandro,366266267,1160493583
The Kid LAROI,175145869,329690685
Stephen Sanchez,289611281,484116600
WILLOW,34598958,30713969
Paulo Londra,47366553,57352830
Anitta,16739000,12113466
Bruno Mars,300547705,272790509
Chino Pacas,52255234,38442524
Doja Cat,1621731111,1112214300
Rihanna,200296580,142014268
Maria Becerra,85210921,123789075
Young Miko,7475370,12118214
XXXTENTACION,29306807,51482863
Frank Sinatra,72960366,82443640
Taylor Swift,3229489270,312489083
Billie Eilish,1140823705,619970698
Kelly Clarkson,86052938,32088903
NewJeans,24485117,19031955
Yng Lvcas,45669993,129021509
Luísa Sonza,9179949,9127511
Jack Harlow,658421188,498002331
The Weeknd,4875815898,5673937228
J. Cole,194669546,276281252
Labrinth,237342276,128848843
SZA,1115403269,549158434
Elley Duhé,15527306,13244341
Aqua,7898145,30066257
Natanael Cano,62380276,103037432
KAROL G,1527316830,2022086751
Chencho Corleone,8549066,11979496
Manuel Turizo,442972955,495576875
Mora,33605597,39076518
Cris Mj,59322946,27835617
Justin Bieber,1285036563,2118931037
Jung Kook,36267571,211296625
LISA,34374826,13272597
Stephanie Beatriz,17011807,112664588
Shakira,99880513,229656981
Rema,225717469,520898609
Sebastian Yatra,39556132,28398099
Miley Cyrus,95070990,7916474
Morgan Wallen,148475503,25604612
Coldplay,838266550,807056239
Lil Uzi Vert,198864103,166020649
Halsey,8234388,5883315
Daddy Yankee,63165096,149798710
Meghan Trainor,18555563,7718298
JENNIE,34649106,16776640
Kendrick Lamar,297771755,245270229
Coi Leray,121407107,155578378
Juice WRLD,187953856,141035833
Ice Spice,15537632,71043852
Lady Gaga,14740484,7722337
Imagine Dragons,1369761949,1078004195
Kanye West,63467326,72623335
Dua Lipa,863075382,2289646477
Teto,11163560,14109300
Lil Baby,26577875,13646364
Anuel AA,7925257,9277001
Drake,712031246,1404419927
Nicki Minaj,8495692,18090675
Lil Nas X,1106954453,952013217
Sam Smith,158243187,800306732
Fuerza Regida,376732697,275931262
Zé Felipe,8678934,11836587
Bing Crosby,26615157,7875601
Charlie Puth,64465051,189692036
Zach Bryan,129599336,198882275
BTS,1014275823,1170806265
Polo G,76754496,99880988
Lana Del Rey,929327462,696429276
Michael Bublé,82474266,7897392
Grupo Frontera,143363808,712171243
Travis Scott,440296425,901923204
Quevedo,1024860373,1215261844
Post Malone,774693086,1440924400
BoyWithUke,38361779,31292493
Kali Uchis,373476059,441465182
Carin Leon,218747856,192213148
21 Savage,11386762,314677720
Peso Pluma,410619079,3670695922
ROSALÍA,608704428,512475363
Tiësto,102637969,300164554
Myke Towers,379450842,134998141
Agust D,41849451,21423359
Camila Cabello,5675851,5579015
Junior H,29642620,53840278
Bad Bunny,7034654042,8945372320
Jimin,107332675,112429498
Ed Sheeran,2141122403,813538156
Trueno,77942350,76683952
Feid,1510148507,2518274964
CKay,215966480,166670481
Gunna,5835703,28056064
Selena Gomez,77556449,102205200
Future,92977801,145761253
Giveon,45809261,75330361
Ana Castela,32633496,31920892
Maroon 5,58834288,66928400
PinkPantheress,16193653,44652349
Elton John,67448212,234320066
Chris Brown,397525400,373006602
Shawn Mendes,178382326,87306320
Ariana Grande,354509115,276907295
JVKE,94448445,112429498
Eminem,1805996245,541172774
